457	985826198
458	986346829
459	986868754
460	987011314
461	987687148
462	988779597
463	988953186
464	988960887
465	989957899
466	990489874
467	990995250
468	990995249
469	991291156
470	991760908
471	993210511
472	993304641
473	993386045
474	993732498
475	994800936
476	994946944
477	995113343
478	995540253
479	995650255
480	995687884
481	995688098
482	996094156
483	996525445
484	997117399
485	997163438
486	997636725
487	997831332
488	997956785
489	998098034
490	999434914
491	1000003147
492	1000541473
495	1000588865
496	1000834764
497	1001505562
498	1001630456
499	1001638927
500	1001841355
501	1001933685
502	1002669419
503	1002863170
504	1002928118
505	1002954037
506	1003038888
507	1004170304
508	1004845246
509	1005288132
510	1005614687
511	1005944375
512	1005957508
513	1007065953
514	1007221538
515	1007293333
516	1007671408
517	1009274215
518	1009949963
519	1010604424
520	1011066776
521	1011157237
522	1011235352
523	1011438312
524	1011485846
525	1011777912
526	1011886780
527	1012195450
528	1012317184
529	1012720616
530	1013027847
531	1013309424
532	1015421376
533	1015450071
534	1015604600
535	1015628574
536	1015915927
537	1016251379
538	1016683093
539	1016777570
540	1017750494
541	1017961762
542	1018062851
543	1018642463
544	1019861256
545	1020031634
546	1020313297
547	1020315323
548	1020313899
549	1020327007
550	1020434139
551	1021096184
552	1021169239
553	1021167748
554	1021170251
555	1021170948
556	1021172267
1005	69159307
1007	88828896
1008	66504795
1009	33137088
1010	0124761508
1012	30440077
1014	51335210
1020	344484627
1021	344484628
1022	344577511
1023	345090373
1024	345759332
1025	346074306
1026	342319845
1027	344128750
1028	344128749
1029	344669946
1030	339543646
1031	345643862
1032	346913411
1033	348533437
1035	349894543
1036	350021467
1037	351073055
1038	351682273
1039	352094751
1040	352154163
1041	352622797
1042	353160662
1043	353908823
1044	354323832
1045	355901229
1046	356614615
1047	357741951
1048	357776470
1049	358323350
1050	358339900
1051	358439935
1052	358992985
1053	359758016
1054	359754974
1055	360498992
1056	360544243
1057	360582876
1058	360715560
1059	361526605
1060	361551371
1061	361677715
1062	361681949
1063	361685346
1064	361685444
1065	361692201
1066	362069241
1067	362307760
1068	362318158
1069	362317453
1070	362332468
1071	362477472
1072	362502842
1073	362611458
1074	363531903
1075	363761409
1077	364167915
1078	364747807
1079	364758626
1080	364878757
1081	364915265
1082	364914811
1083	364924009
1084	364972572
1085	365114500
1086	365186408
1087	365331236
1088	365837936
1089	365862437
1090	365878371
1091	366285859
